feature,importance
director_power,209
search_4w_before,188
search_2w_before,173
distributor_target,159
ticket_power,157
search_1w_after,131
search_1w_before,117
avg_search,113
actor_power,110
search_opening,107
search_volatility,88
distributor_freq,59
release_year,35
search_growth_rate,30
max_search,29
watchGrade_encoded,19
genre_어드벤처,13
release_month,8
season_winter_peak,4
genre_가족,2
genre_애니메이션,2
season_spring,2
genre_드라마,2
season_fall,2
genre_판타지,1
genre_멜로/로맨스,0
season_summer_peak,0
is_weekend,0
release_dayofweek,0
genre_사극,0
release_quarter,0
genre_Unknown,0
genre_미스터리,0
genre_다큐멘터리,0
genre_코미디,0
genre_성인물(에로),0
genre_스릴러,0
genre_기타,0
genre_범죄,0
genre_액션,0
genre_SF,0
genre_공포(호러),0
genre_전쟁,0
genre_공연,0
genre_뮤지컬,0
genre_서부극(웨스턴),0
